Value,Score,Method,Metric,Channel,Optimal,What,Participant,Condition,SamplingRate,MaxFreq,Duration,Dataset
10,0.1475386972706456,fraser1986,Mutual Information,Fp2,5.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,0.8851451432518458,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,0.6212714346997313,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,0.3472078924029295,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,0.13431444733444867,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,-0.01185891633416855,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,-0.10588276590144947,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,-0.1557296313056069,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,-0.16344321330924155,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,-0.1343253472807595,rosenstein1993,Autocorrelation (FFT),Fp2,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.57014831795492e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,2.8505811362413426e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,3.7430254768207238e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,4.304870674586314e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,4.6455210757679024e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,4.8479055178359624e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,4.951374353891271e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,4.96260157830301e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,4.891104281615252e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,4.768692883757758e-06,rosenstein1994,Displacement,Fp2,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.0258884674041049,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,0.382807972380915,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,0.20586081484547059,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,0.16327482972868257,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,0.15908962444648989,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,0.15406644041819284,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,0.15509069362401018,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,0.15516366637110934,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,0.15753445238981012,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,0.15715061437700228,fraser1986,Mutual Information,F7,6.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,0.851511799041147,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,0.5373561485360677,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,0.2654248947566399,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,0.11020810508748777,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,0.038753317882343034,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
7,-0.00045124492079649575,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
8,-0.031491538386632816,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
9,-0.05581447491843106,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
10,-0.06837462685494139,rosenstein1993,Autocorrelation (FFT),F7,3.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
1,2.132899347112429e-06,rosenstein1994,Displacement,F7,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
2,3.7773082371782373e-06,rosenstein1994,Displacement,F7,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
3,4.773091525065638e-06,rosenstein1994,Displacement,F7,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
4,5.267319288005434e-06,rosenstein1994,Displacement,F7,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
5,5.480929673386112e-06,rosenstein1994,Displacement,F7,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
6,5.588586018779959e-06,rosenstein1994,Displacement,F7,1.0,Delay,sub-010002,EC,250.0,125.0,7.956333333333333,Lemon
