Value,Score,Method,Metric,Channel,Optimal,What,Participant,Condition,SamplingRate,MaxFreq,Duration,Dataset
6,3.914976628967232e-06,rosenstein1994,Displacement,C1,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,3.876070533465092e-06,rosenstein1994,Displacement,C1,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,3.7255754746664444e-06,rosenstein1994,Displacement,C1,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,3.5373828429186403e-06,rosenstein1994,Displacement,C1,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,3.3811511873203178e-06,rosenstein1994,Displacement,C1,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.3952132922567788,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.6143243655616706,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.3088147783187454,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.2030628699017054,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.19195365346521154,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,0.20259547879843787,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,0.19867550184753657,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,0.19189821489861103,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,0.19247088255825595,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,0.20225796050999634,fraser1986,Mutual Information,C2,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.9140361893540743,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.6903182422806249,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.4065486243519842,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.14227591476737547,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,-0.04610778029891049,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,-0.13427001287354148,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,-0.12812823942842408,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,-0.056028755625263695,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,0.04276707350992743,rosenstein1993,Autocorrelation (FFT),C2,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.108952925281447e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,2.102340252502366e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,2.9074399498899837e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,3.489182704679573e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,3.848497203546393e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,3.9995869026470204e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,3.982522517825178e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,3.850764378476847e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,3.6690192724425624e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,3.504945049621622e-06,rosenstein1994,Displacement,C2,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.2245481428380245,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.49407601667909606,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.2402221610586608,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.17274632381211497,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.18321898649275692,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,0.20777718443303428,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,0.21281258392138458,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,0.19800973549128997,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,0.18063302008762783,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,0.17442346719843105,fraser1986,Mutual Information,C6,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.8918599151889948,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.6293727203519105,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.32724761886293563,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.06426247201534918,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,-0.124569443193495,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,-0.2291373473513569,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,-0.25349067701170985,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,-0.21491961317119812,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,-0.1409052540415902,rosenstein1993,Autocorrelation (FFT),C6,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.4739565257049221e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,2.7264938091311126e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,3.6657973317820412e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,4.311418110559454e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,4.712180157727588e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,4.909849753266403e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,4.940659937254653e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,4.846412330310906e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,4.688463476303315e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,4.521862113150983e-06,rosenstein1994,Displacement,C6,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.1529199595318405,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.453186559637885,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.22299410280469,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.16653576675123105,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.1592020694318066,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,0.16707123753030118,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,0.1713472171839312,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,0.17003237287400808,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,0.15991278697167033,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,0.15547808275303687,fraser1986,Mutual Information,TP7,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.8699851162717984,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.5752624433158037,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.2799891601798577,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.06707353184561972,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,-0.06065447456003742,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,-0.12608668724288338,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,-0.1469528197361079,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,-0.13447760066554287,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,-0.09986117099441273,rosenstein1993,Autocorrelation (FFT),TP7,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.7800215314595526e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,3.2451537911241666e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,4.275433656297667e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,4.914160943902469e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,5.271173922824493e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,5.4411098195573126e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,5.488593101242493e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,5.453920978471342e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,5.363574212468982e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,5.2508719204297724e-06,rosenstein1994,Displacement,TP7,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.259692435378879,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.5077094888015452,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.2419829733546388,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.19167383965057194,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.23674420669467366,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,0.29951306529648924,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,0.30684439212087966,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,0.2626133983525252,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,0.21115110070040988,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,0.19308764981692939,fraser1986,Mutual Information,CP3,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.8949378657480896,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.624845137195659,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.285861841288663,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,-0.033264271505252886,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,-0.27300576373033636,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,-0.4029206868732412,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,-0.41801031951483614,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,-0.3358770163824547,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,-0.19170513128650998,rosenstein1993,Autocorrelation (FFT),CP3,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.697134075518628e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,3.211000120888729e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,4.4316574417492146e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,5.327160258857727e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,5.900361894012597e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,6.174571826775112e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,6.182239899809764e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,5.9718561389860195e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,5.61550104631523e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,5.211783123038807e-06,rosenstein1994,Displacement,CP3,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.3936899950175192,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.6037767350586583,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.2886845347537079,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.17636342810682493,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.16083691617556983,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,0.1674152830385296,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,0.165781543154206,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,0.1655048616365944,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,0.17475973553504165,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,0.190873355880945,fraser1986,Mutual Information,CPz,5.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.9148342729117358,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.6931294184954487,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.4124697745753561,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.15304628029622885,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,-0.02852235017978106,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,-0.10880154424734577,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,-0.09535296086906923,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,-0.01811464441459732,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,0.08268292291456245,rosenstein1993,Autocorrelation (FFT),CPz,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.1885773828236102e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,2.2503450730010916e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,3.106818043657665e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,3.7173604064444453e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,4.085843092548311e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,4.2308719049480875e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,4.194870938575258e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,4.036708060569058e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,3.832087074726061e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,3.659312940713984e-06,rosenstein1994,Displacement,CPz,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.3523222681527196,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.5633729589227849,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.25799882853625,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.17273450076383767,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.2012326129215154,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,0.2613745980626101,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,0.2820603905067589,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,0.2539957819448375,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,0.20672869664293003,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,0.17966296381651858,fraser1986,Mutual Information,CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.9113108873103849,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.6755514321771369,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.3629623385032846,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.04972587927537147,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,-0.2028395911526162,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,-0.35795690433388816,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,-0.4055734947859235,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,-0.3595723747323425,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,-0.25083923248021234,rosenstein1993,Autocorrelation (FFT),CP4,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.5435176688895496e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,2.9471382243329833e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,4.117617641859467e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,5.0123539868947025e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,5.616554754585546e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,5.938773939079094e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,6.010380048349583e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,5.8790783638760105e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,5.614092218503943e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,5.295709023177511e-06,rosenstein1994,Displacement,CP4,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.1072038202447665,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.42320310751678747,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.215446380361211,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.17016259665043343,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.17375987690966177,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,0.17998040353042022,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,0.17895832294229486,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,0.17501253033341957,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,0.1702246312832374,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,0.16976770505285277,fraser1986,Mutual Information,TP8,4.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.0,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,0.8695835736558241,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,0.572835586278789,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,0.27301413063082797,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,0.054994513954179446,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,-0.07347227165213643,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,-0.13033141793215203,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
8,-0.13218563481937617,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
9,-0.09552812745937277,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
10,-0.04080068886429775,rosenstein1993,Autocorrelation (FFT),TP8,3.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
1,1.784047851859564e-06,rosenstein1994,Displacement,TP8,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
2,3.231490714197166e-06,rosenstein1994,Displacement,TP8,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
3,4.2121512979643605e-06,rosenstein1994,Displacement,TP8,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
4,4.795171919692102e-06,rosenstein1994,Displacement,TP8,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
5,5.101782626052793e-06,rosenstein1994,Displacement,TP8,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
6,5.22263970582916e-06,rosenstein1994,Displacement,TP8,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
7,5.216692924593926e-06,rosenstein1994,Displacement,TP8,1.0,Delay,sub-010002,EO,250.0,125.0,7.8574,Lemon
