Channel,SFD,AttEn,SVDEn,Hjorth,Participant,Condition,Dataset
PO4,1.6611125722260192,2.4199416450840587,2.3197523455257767,1.6182940865208344,sub-010002,Eyes-Open,Lemon
PO8,1.6547563212216354,2.345295718785217,2.3207972354543305,1.6666063041660053,sub-010002,Eyes-Open,Lemon
Fp1,1.5948167762619248,2.975129819303294,2.224290651554618,2.0272560517804203,sub-010003,Eyes-Closed,Lemon
Fp2,1.5958251611252152,2.963450589269579,2.225908784530783,2.03798569020352,sub-010003,Eyes-Closed,Lemon
F7,1.5833169011754513,2.9761473405923438,2.2436417374515343,2.134885827443549,sub-010003,Eyes-Closed,Lemon
F3,1.596659274127544,3.072938262220348,2.249426191758355,1.8119609032956732,sub-010003,Eyes-Closed,Lemon
Fz,1.6072791809406253,3.100974560821105,2.245409606154895,1.7350239155694367,sub-010003,Eyes-Closed,Lemon
F4,1.5928882087983927,3.0762225926276483,2.2513951412580107,1.7470518640854806,sub-010003,Eyes-Closed,Lemon
F8,1.5870794479486263,3.0502896335613325,2.24846053645929,1.9218838769400695,sub-010003,Eyes-Closed,Lemon
FC5,1.5931311422172314,2.9225612927303906,2.2700597490549272,1.9658244081219725,sub-010003,Eyes-Closed,Lemon
FC1,1.6082524158188076,3.0662155679209953,2.2585391821176466,1.7658873094114103,sub-010003,Eyes-Closed,Lemon
FC2,1.6058575764294853,3.0830923223954874,2.2611645247102836,1.7391890225440463,sub-010003,Eyes-Closed,Lemon
FC6,1.5925997211532885,3.036120018010305,2.268982567049716,1.8039189047584068,sub-010003,Eyes-Closed,Lemon
T7,1.5717566001455956,2.9486899797327286,2.2783602783327606,1.9205643325770703,sub-010003,Eyes-Closed,Lemon
C3,1.60826263806122,3.0689650492139675,2.2431638656388504,1.7785364257069314,sub-010003,Eyes-Closed,Lemon
Cz,1.5746029451080084,3.121179805449004,2.2452135164012548,1.8028050365700856,sub-010003,Eyes-Closed,Lemon
C4,1.603506742413819,3.113645023836633,2.255592281933512,1.7473810490410921,sub-010003,Eyes-Closed,Lemon
T8,1.591180298505038,3.014221973120345,2.286815552193941,1.8316003465127866,sub-010003,Eyes-Closed,Lemon
CP5,1.590493928003936,3.0651038475123236,2.2544799295526117,1.747053484891468,sub-010003,Eyes-Closed,Lemon
CP1,1.5597397223130622,3.178550643747225,2.236058663059983,1.736169633199617,sub-010003,Eyes-Closed,Lemon
CP2,1.572591350929962,3.1825010960717135,2.235411048466474,1.743778240355242,sub-010003,Eyes-Closed,Lemon
CP6,1.5874580433135823,3.0398485879898285,2.2724043874956004,1.7970250685324745,sub-010003,Eyes-Closed,Lemon
AFz,1.599009509165116,3.0754022876606926,2.2325389307814443,1.8533614062876742,sub-010003,Eyes-Closed,Lemon
P7,1.6139888345146343,3.0356668708655974,2.255834632092877,1.803271095494288,sub-010003,Eyes-Closed,Lemon
P3,1.6084173537913067,3.143931226672496,2.2482193221965074,1.5646276883287438,sub-010003,Eyes-Closed,Lemon
Pz,1.5835639146104674,3.121439304760104,2.2599734513184515,1.5885531090147167,sub-010003,Eyes-Closed,Lemon
P4,1.5948218652972692,3.151624191952085,2.24922168608524,1.6094139430390826,sub-010003,Eyes-Closed,Lemon
P8,1.5874788305080094,3.1225414390316457,2.250614639316583,1.7443537475795754,sub-010003,Eyes-Closed,Lemon
PO9,1.6306412166404771,2.7607801266848986,2.2632797512249243,2.1542857520833323,sub-010003,Eyes-Closed,Lemon
O1,1.647095590377428,2.9422666750092192,2.2315136374785656,1.7664451926802613,sub-010003,Eyes-Closed,Lemon
Oz,1.6454527854936107,3.0247863238402717,2.226821897823589,1.601658781645474,sub-010003,Eyes-Closed,Lemon
O2,1.6442470232336834,3.029178139592612,2.2228029502688336,1.5770517231452197,sub-010003,Eyes-Closed,Lemon
PO10,1.6193290876469515,2.7436293059882653,2.2642592863581776,2.1748142260798615,sub-010003,Eyes-Closed,Lemon
AF7,1.5906453480692888,3.0430465762861223,2.23328443471007,1.9620565167069246,sub-010003,Eyes-Closed,Lemon
AF3,1.59366359344222,3.0874434732347065,2.2318778900845633,1.8324332603453042,sub-010003,Eyes-Closed,Lemon
AF4,1.5986557791128437,3.087120471199464,2.233096927213303,1.8109392879148205,sub-010003,Eyes-Closed,Lemon
AF8,1.5880057619720145,3.0073707536325722,2.23647369005073,1.958832300911268,sub-010003,Eyes-Closed,Lemon
F5,1.5965046155028877,3.04128002648533,2.246574272765741,1.9256446256072184,sub-010003,Eyes-Closed,Lemon
F1,1.6044971354292685,3.077063725256284,2.250064606985313,1.7801271791588815,sub-010003,Eyes-Closed,Lemon
F2,1.5992765526986006,3.090909270108046,2.249118805029995,1.7174292963389477,sub-010003,Eyes-Closed,Lemon
F6,1.5957116294294926,3.0606130860720304,2.2516564099742555,1.8125822760031869,sub-010003,Eyes-Closed,Lemon
FT7,1.5724695214749274,2.928474305445988,2.2617752789229906,2.0750476570168224,sub-010003,Eyes-Closed,Lemon
FC3,1.6175203848838073,3.0152466945212786,2.2650529573681797,1.78666103979324,sub-010003,Eyes-Closed,Lemon
FC4,1.6033355582738755,3.0673835237621705,2.2664460044027765,1.7179184898065465,sub-010003,Eyes-Closed,Lemon
FT8,1.5887765182271978,3.0213711015435227,2.2641249142078674,1.9246956071235528,sub-010003,Eyes-Closed,Lemon
C5,1.6172069675389433,2.5575934282391515,2.281283916044437,2.0306295769754446,sub-010003,Eyes-Closed,Lemon
C1,1.5811835968987151,3.118081616426634,2.247568186339537,1.781666786543483,sub-010003,Eyes-Closed,Lemon
C2,1.587784230303833,3.1471019308374926,2.2471371525248576,1.7546785600089294,sub-010003,Eyes-Closed,Lemon
C6,1.5940764982281803,3.011841500610314,2.284512742225478,1.759522604322543,sub-010003,Eyes-Closed,Lemon
TP7,1.5803050218248744,2.910689132393916,2.284807686906811,1.908366867816852,sub-010003,Eyes-Closed,Lemon
CP3,1.5952567900283174,3.152021626339163,2.2375662402457537,1.7135764976393213,sub-010003,Eyes-Closed,Lemon
CPz,1.5578668846342645,3.1733715473732746,2.23835672915444,1.747485310921949,sub-010003,Eyes-Closed,Lemon
CP4,1.5878670046305619,3.1536433458751567,2.2416118872326543,1.7566972204646807,sub-010003,Eyes-Closed,Lemon
TP8,1.5831978239028301,2.998631173424399,2.2940013036404023,1.792170462251844,sub-010003,Eyes-Closed,Lemon
P5,1.6184252735099007,3.1216203391667117,2.244902338717184,1.5997897064132023,sub-010003,Eyes-Closed,Lemon
P1,1.5834645697125835,3.1384471863506933,2.2542381047836564,1.5878741353420418,sub-010003,Eyes-Closed,Lemon
P2,1.5921783132253637,3.1415461835015788,2.254609865669247,1.6153174380129278,sub-010003,Eyes-Closed,Lemon
P6,1.5986883023019296,3.1331345108362254,2.244519666723134,1.635538318178963,sub-010003,Eyes-Closed,Lemon
PO7,1.6366339837303663,3.0350041463454067,2.2375839079502144,1.7182034582680665,sub-010003,Eyes-Closed,Lemon
PO3,1.6406177612379351,3.072411522289922,2.215648446943326,1.4369439285478764,sub-010003,Eyes-Closed,Lemon
POz,1.6382615391237663,3.0522143052291186,2.228165269784228,1.4181887508283408,sub-010003,Eyes-Closed,Lemon
PO4,1.6327731487898614,3.0691429118330698,2.218039509815176,1.4098460978205076,sub-010003,Eyes-Closed,Lemon
PO8,1.6210173952648863,3.086231607577469,2.231787415969679,1.6364466085353906,sub-010003,Eyes-Closed,Lemon
Fp1,1.5741610659822296,2.494177172645283,2.2788959625919034,2.165640545391608,sub-010003,Eyes-Open,Lemon
Fp2,1.5808841224630217,2.6154969398986747,2.2753202436623745,2.1914004014258346,sub-010003,Eyes-Open,Lemon
F7,1.5875357289017162,2.7160007798398755,2.2757967382842867,2.232584507777481,sub-010003,Eyes-Open,Lemon
F3,1.559545538884357,2.7017405697887718,2.292077465814169,1.973623230089502,sub-010003,Eyes-Open,Lemon
Fz,1.576629972535439,2.7238838826959886,2.29799237625237,1.9374824086110904,sub-010003,Eyes-Open,Lemon
F4,1.582187175657853,2.6537486189556203,2.3022744271973847,1.9801593228530854,sub-010003,Eyes-Open,Lemon
F8,1.5813852670974986,2.6961443528252684,2.2780928138105176,2.285975047172429,sub-010003,Eyes-Open,Lemon
FC5,1.577546438185541,2.793676392988968,2.2899737181182767,1.9582418705782778,sub-010003,Eyes-Open,Lemon
FC1,1.590100744480556,2.7783497423826082,2.3000602001525428,1.8838506754136122,sub-010003,Eyes-Open,Lemon
FC2,1.5904566809218936,2.7592208516079606,2.30031628145241,1.8979509539961565,sub-010003,Eyes-Open,Lemon
FC6,1.5928320715350137,2.759075542585829,2.2931748257615663,2.044402825653682,sub-010003,Eyes-Open,Lemon
T7,1.6230812928414537,2.0437061973355064,2.3102175585179263,1.9034046370396016,sub-010003,Eyes-Open,Lemon
C3,1.5844642117731635,2.893957436929043,2.2639094229242103,1.7449581249137913,sub-010003,Eyes-Open,Lemon
Cz,1.581104444855371,2.836472631790457,2.282223280200668,1.9272620611690081,sub-010003,Eyes-Open,Lemon
C4,1.6036858683276218,2.916571809186774,2.255154574928372,1.7204537402544529,sub-010003,Eyes-Open,Lemon
T8,1.59357985559231,2.8001340679469027,2.3006495240277935,1.9265357290049814,sub-010003,Eyes-Open,Lemon
CP5,1.57593302096071,2.847600342346638,2.289910063717523,1.7735087696199847,sub-010003,Eyes-Open,Lemon
CP1,1.5744807108845014,2.9205023186630585,2.26388473568799,1.8357125504123477,sub-010003,Eyes-Open,Lemon
CP2,1.5830055285195908,2.9898401304293065,2.255222302658236,1.7352521295180952,sub-010003,Eyes-Open,Lemon
CP6,1.5945085374102286,2.807035737471548,2.297634704482925,1.7649165592099567,sub-010003,Eyes-Open,Lemon
AFz,1.5726100756905539,2.643664324474684,2.285645394129419,2.089145660801401,sub-010003,Eyes-Open,Lemon
P7,1.605293012679128,2.672819257104459,2.3062802396099604,1.8898888424880476,sub-010003,Eyes-Open,Lemon
P3,1.5699439706600475,2.832796960158571,2.289290981435289,1.8426539596079812,sub-010003,Eyes-Open,Lemon
Pz,1.5757082229962376,2.9258804930287,2.290149055930552,1.8249648389955915,sub-010003,Eyes-Open,Lemon
P4,1.5725248662277735,2.9240208388127966,2.2847914780912864,1.7336371010138627,sub-010003,Eyes-Open,Lemon
P8,1.5901615951008692,2.746815487110021,2.296231500757287,1.9059622947237664,sub-010003,Eyes-Open,Lemon
PO9,1.6467131799451542,2.2629641679031742,2.310003964052386,1.926296452379873,sub-010003,Eyes-Open,Lemon
O1,1.6360279413010228,2.3757831178455726,2.312129544267576,1.9920918294693166,sub-010003,Eyes-Open,Lemon
Oz,1.622452427401436,2.5360624232069426,2.30652681659393,2.100785032732982,sub-010003,Eyes-Open,Lemon
O2,1.616253748919938,2.5770877915217234,2.3048491677724847,2.0091819780625313,sub-010003,Eyes-Open,Lemon
PO10,1.6256136655264604,2.3573565381725037,2.306029265083887,2.0030772595128323,sub-010003,Eyes-Open,Lemon
AF7,1.5911580180468257,2.4364571107909767,2.282572778679062,2.235054590482851,sub-010003,Eyes-Open,Lemon
AF3,1.5588473563793692,2.682197676309915,2.2828937837651115,2.0376911476250354,sub-010003,Eyes-Open,Lemon
AF4,1.5755991225463903,2.6560716228402064,2.288082978307525,2.0628835467608226,sub-010003,Eyes-Open,Lemon
AF8,1.5827821691675523,2.5305832817179397,2.2784176380521366,2.270475376596841,sub-010003,Eyes-Open,Lemon
F5,1.5669261248240247,2.626106706848166,2.284848336270533,2.0910793236688785,sub-010003,Eyes-Open,Lemon
F1,1.5713684481064827,2.7395439724280863,2.2973763923129003,1.9365114421625662,sub-010003,Eyes-Open,Lemon
F2,1.5776525402582195,2.695846380528649,2.3014657394553923,1.934269864422265,sub-010003,Eyes-Open,Lemon
F6,1.5828524764729768,2.667404557983246,2.2934876947632965,2.1074264744237547,sub-010003,Eyes-Open,Lemon
FT7,1.5941361654665847,2.7628633330879695,2.288539817634307,2.0884558717341313,sub-010003,Eyes-Open,Lemon
FC3,1.5874253997430525,2.823661416876701,2.291816777046519,1.812318672905193,sub-010003,Eyes-Open,Lemon
FC4,1.594797167921761,2.7671772814990594,2.2962866117913294,1.8959657137659134,sub-010003,Eyes-Open,Lemon
FT8,1.586625730222887,2.7686282599011265,2.284875911504604,2.1636925620946212,sub-010003,Eyes-Open,Lemon
C5,1.594147394494223,2.631667220725861,2.291965395203008,1.9701446518350243,sub-010003,Eyes-Open,Lemon
C1,1.579403898505352,2.8578732360774506,2.283373940309129,1.8762733398724578,sub-010003,Eyes-Open,Lemon
C2,1.6024441670644014,2.9338222555996083,2.2665031163341203,1.794663645736427,sub-010003,Eyes-Open,Lemon
C6,1.5993240069565664,2.7951548093928906,2.298115641748056,1.834338780132392,sub-010003,Eyes-Open,Lemon
TP7,1.5808847370041859,2.7829148366537257,2.305084640069837,1.8286644634363982,sub-010003,Eyes-Open,Lemon
CP3,1.566156775910501,2.9161491546148133,2.2637398577943166,1.7561945712790852,sub-010003,Eyes-Open,Lemon
CPz,1.5763846400756285,2.924959944440248,2.265764411720162,1.8631228528936066,sub-010003,Eyes-Open,Lemon
CP4,1.584815418514194,2.946723171750433,2.2614535614403004,1.7050998179747154,sub-010003,Eyes-Open,Lemon
TP8,1.5951698348799208,2.7720462308192477,2.3079307649070797,1.8480479292720862,sub-010003,Eyes-Open,Lemon
P5,1.5877044484308898,2.7664002366886593,2.299004308722619,1.8550292732467948,sub-010003,Eyes-Open,Lemon
P1,1.5711499236926554,2.8962979993223272,2.2862614338814176,1.8414709189358063,sub-010003,Eyes-Open,Lemon
P2,1.5746562511853832,2.945261119036957,2.285108023194654,1.7526916919184936,sub-010003,Eyes-Open,Lemon
P6,1.5810231676411606,2.8417445537669828,2.291671611067189,1.7818696008125,sub-010003,Eyes-Open,Lemon
