,ECG
0,-0.3406138028300806
1,-0.40008356716417587
2,-0.37141977481220495
3,-0.37977174961364346
4,-0.36664406637691127
5,-0.36669259303442503
6,-0.3574337693390543
7,-0.35376934216445816
8,-0.3475554394881368
9,-0.3430480987585414
10,-0.33692303361698495
11,-0.3311145034570682
12,-0.325775972247391
13,-0.31973747560153526
14,-0.31384553390414716
15,-0.3072149997627763
16,-0.30182076293962257
17,-0.2960769539328177
18,-0.2901026405980536
19,-0.2844065833584647
20,-0.27913697074421023
21,-0.27401004358066866
22,-0.2685428835836177
23,-0.26248238778222577
24,-0.2573036898725958
25,-0.2526148910490699
26,-0.2474855543671168
27,-0.24232269777563917
28,-0.23754946035594016
29,-0.232891335494939
30,-0.2279568539816319
31,-0.22320599088767845
32,-0.2178853365442074
33,-0.21327925191344538
34,-0.20828299285946525
35,-0.20404633075312006
36,-0.19977728806257056
37,-0.19565101265916182
38,-0.19137283277935652
39,-0.18756002546337194
40,-0.18446986645546376
41,-0.1808688257977631
42,-0.17786591360448048
43,-0.1747226438617629
44,-0.17106548958244772
45,-0.16775266937705804
46,-0.16494498067412441
47,-0.1617323310722496
48,-0.1596757702611815
49,-0.1569793271536602
50,-0.1542022005628043
51,-0.1523166252673598
52,-0.14955992401386392
53,-0.14699837575518362
54,-0.14484642066260628
55,-0.14219157492338624
56,-0.1395189786225215
57,-0.13735283332428808
58,-0.13574052183903693
59,-0.1338735901619762
60,-0.13238718242007297
61,-0.13101448938168006
62,-0.12934384248287437
63,-0.1275654296590649
64,-0.12601109278029998
65,-0.12431775066281076
66,-0.12256008601541747
67,-0.12128019752175921
68,-0.11975504088413688
69,-0.11784192491087804
70,-0.11630007908967936
71,-0.11449107987846437
72,-0.11301384095880122
73,-0.1119306476865446
74,-0.11126972297902715
75,-0.11047334468860762
76,-0.10850651590758699
77,-0.10762259202702505
78,-0.10683071923638171
79,-0.10589804124266038
80,-0.10479279793832258
81,-0.10355108429411736
82,-0.10224333628199024
83,-0.10177433865289583
84,-0.10049973438628378
85,-0.0997295378002034
86,-0.09902088989706495
87,-0.09794281137823942
88,-0.09670207635100542
89,-0.09542570530783201
90,-0.09461160115294216
91,-0.09379202153832224
92,-0.09291842854241118
93,-0.09204099109925727
94,-0.09118940506808008
95,-0.09046749708050897
96,-0.08977361727261118
97,-0.08875974318982624
98,-0.08803758616094082
99,-0.08742989290396108
100,-0.08731913725632846
101,-0.08694604774502797
102,-0.08600391012552304
103,-0.08515091840743437
104,-0.08447852327380558
105,-0.08342711535315162
106,-0.08284025793068867
107,-0.08218951890384082
108,-0.08093877960143085
109,-0.08038823095595468
110,-0.07953059141479407
111,-0.07843015032382276
112,-0.0780493668434492
113,-0.07739560417504164
114,-0.07617866827580562
115,-0.07539507345333121
116,-0.0745802743477117
117,-0.07349759219178907
118,-0.07314265327321703
119,-0.07251881363969548
120,-0.07260820475283063
121,-0.07190175579835258
122,-0.07078212043893815
123,-0.07047980166228868
124,-0.06936231696655296
125,-0.06836331990961622
126,-0.06754238853841678
127,-0.06685976885207967
128,-0.06599407575086619
129,-0.06557879751723372
130,-0.06536694880323075
131,-0.06478221439664081
132,-0.0637040522118596
133,-0.06308099786416417
134,-0.06268427328079407
135,-0.06168792792291456
136,-0.06067227304238936
137,-0.06039317313298875
138,-0.06029917595772525
139,-0.059127494542880916
140,-0.05847531290848578
141,-0.058104834211587915
142,-0.05818545602082728
143,-0.05800642414922345
144,-0.05638633994973455
145,-0.056009550828502175
146,-0.05492885993071615
147,-0.05377426571783182
148,-0.05341897759572668
149,-0.05279734562362631
150,-0.05158840415546144
151,-0.05122889820197345
152,-0.0509300541498825
153,-0.05060231716121369
154,-0.04965527308160736
155,-0.04869873718199489
156,-0.048180766488884696
157,-0.047433886336805696
158,-0.04641708018798263
159,-0.04577104144442808
160,-0.04564721742871801
161,-0.04538008441286596
162,-0.044060075535079575
163,-0.04361737085525529
164,-0.043274964634756684
165,-0.04313897513363643
166,-0.042326433674857195
167,-0.041387043360685986
168,-0.04095997379693088
169,-0.04087317104018452
170,-0.04090177292376315
171,-0.04068372171180323
172,-0.04098247136007949
173,-0.040522508415346555
174,-0.03953442856030155
175,-0.038682546448027565
176,-0.03821092297360949
177,-0.03851329731824896
178,-0.03827951025234883
179,-0.03842861514437155
180,-0.038244886621355986
181,-0.03744121046736291
182,-0.03678616886510705
183,-0.03627426268569083
184,-0.03604603691320085
185,-0.03621862172428609
186,-0.03559864276959064
187,-0.035609492163140063
188,-0.035579697385277186
189,-0.03451533967385329
190,-0.033718693440847526
191,-0.03357347578084519
192,-0.03317936637217674
193,-0.03331600969492345
194,-0.033230906630386754
195,-0.031777063937115456
196,-0.03160537658862645
197,-0.030992776835961428
198,-0.031095356334123487
199,-0.030977914256192198
200,-0.030582710318922086
201,-0.02973665445920406
202,-0.028772997037765504
203,-0.028394404469750202
204,-0.02843851470687924
205,-0.027628457600743363
206,-0.02673754488063192
207,-0.026399559396506796
