ECG,RSP,EDA,PhotoSensor
0.000762939,5.99609375,11.73400953,5
-0.000610352,5.990600586,11.74621657,5
0.000762939,5.990905762,11.75232008,5
0.002288818,5.985717773,11.75689772,5
0.005340576,5.981750488,11.77063063,5
0.008087158,5.981445313,11.76757887,5
0.010375977,5.975952148,11.78131178,5
0.011444092,5.972290039,11.78131178,5
0.01083374,5.971679688,11.79199293,5
0.010375977,5.966186523,11.79046705,5
0.012969971,5.961608887,11.80267408,5
0.013122559,5.961914063,11.80419996,5
0.012969971,5.956420898,11.81945875,5
0.012969971,5.951538086,11.81488112,5
0.010375977,5.952148438,11.83471754,5
0.017852783,5.946655273,11.84082106,5
0.027618408,5.942077637,11.84387282,5
0.057830811,5.941162109,11.85760573,5
0.056762695,5.9375,11.85607985,5
0.053863525,5.932922363,11.86828688,5
0.055847168,5.932922363,11.87896803,5
0.009613037,5.927734375,11.87896803,5
-0.014190674,5.925292969,11.89117506,5
-0.013885498,5.922851563,11.90490797,5
-0.004272461,5.91796875,11.90338209,5
-0.009002686,5.918579102,11.91406325,5
-0.015258789,5.913085938,11.91864088,5
-0.014953613,5.913391113,11.92932203,5
-0.01159668,5.908508301,11.94000319,5
-0.008850098,5.908813477,11.94152907,5
-0.006256104,5.903320313,11.95221022,5
-0.003967285,5.903625488,11.95526198,5
-0.003967285,5.8984375,11.96136549,5
-0.003814697,5.893859863,11.97357252,5
-0.046844482,5.893249512,11.9750984,5
-0.06652832,5.888977051,11.98883131,5
0.066070557,5.888366699,11.99188307,5
0.545196533,5.885925293,12.00256422,5
1.094512939,5.884094238,12.00256422,5
0.451507568,5.882873535,12.0117195,5
-0.21697998,5.87890625,12.01477125,5
-0.458374023,5.878295898,12.02545241,5
-0.369262695,5.873718262,12.02240065,5
-0.194396973,5.873413086,12.03918532,5
-0.108184814,5.869140625,12.03765944,5
-0.077514648,5.868835449,12.04681471,5
-0.058898926,5.867004395,12.04681471,5
-0.046081543,5.864257813,12.06512526,5
-0.033569336,5.864562988,12.06359938,5
-0.023498535,5.859069824,12.07428053,5
-0.013427734,5.858764648,12.07428053,5
-0.002746582,5.854492188,12.08496168,5
0.00793457,5.85357666,12.0834358,5
0.019073486,5.854187012,12.09716871,5
0.027618408,5.849609375,12.09716871,5
