Sampling_Rate,Duration,Score,Recording_Length,Error,Participant,Database,Method
250,0.008976,,2.0,None,GUDB_20,GUDB_sitting,none
250,0.009973,,2.0,None,GUDB_20,GUDB_maths,none
250,0.008976,,2.0,None,GUDB_20,GUDB_walking,none
250,0.008975,,2.0,None,GUDB_20,GUDB_hand_bike,none
250,0.01097,,2.0,None,GUDB_20,GUDB_jogging,none
250,0.007978,,2.0,None,GUDB_21,GUDB_sitting,none
250,0.006981,,2.0,None,GUDB_21,GUDB_maths,none
250,0.007979,,2.0,None,GUDB_21,GUDB_walking,none
250,0.008977,,2.0,None,GUDB_21,GUDB_hand_bike,none
250,0.009973,,2.0,None,GUDB_21,GUDB_jogging,none
250,0.008976,,2.0,None,GUDB_22,GUDB_sitting,none
250,0.009974,,2.0,None,GUDB_22,GUDB_maths,none
250,0.009973,,2.0,None,GUDB_22,GUDB_walking,none
250,0.009973,,2.0,None,GUDB_22,GUDB_hand_bike,none
250,0.012965,,2.0,None,GUDB_22,GUDB_jogging,none
250,0.009973,,2.0,None,GUDB_23,GUDB_sitting,none
250,0.008975,,2.0,None,GUDB_23,GUDB_maths,none
250,0.008976,,2.0,None,GUDB_23,GUDB_walking,none
250,0.009973,,2.0,None,GUDB_23,GUDB_hand_bike,none
250,0.011968,,2.0,None,GUDB_23,GUDB_jogging,none
250,0.006981,,2.0,None,GUDB_24,GUDB_sitting,none
250,0.007979,,2.0,None,GUDB_24,GUDB_maths,none
250,0.007979,,2.0,None,GUDB_24,GUDB_walking,none
250,0.009973,,2.0,None,GUDB_24,GUDB_hand_bike,none
250,0.012965,,2.0,None,GUDB_24,GUDB_jogging,none
360,0.15359,0.0011933430050844937,30.092592592592595,None,MIT-Arrhythmia_00,MIT-Arrhythmia,none
360,0.13863,0.0031690639562989543,30.092592592592595,None,MIT-Arrhythmia_01,MIT-Arrhythmia,none
360,0.152592,0.003421417760827994,30.092592592592595,None,MIT-Arrhythmia_02,MIT-Arrhythmia,none
360,0.161569,0.0008745250668822179,30.092592592592595,None,MIT-Arrhythmia_03,MIT-Arrhythmia,none
360,0.175532,0.028503136686760498,30.092592592592595,None,MIT-Arrhythmia_04,MIT-Arrhythmia,none
360,0.163563,0.007372977691306855,30.092592592592595,None,MIT-Arrhythmia_05,MIT-Arrhythmia,none
360,0.147607,0.00605577442945926,30.092592592592595,None,MIT-Arrhythmia_06,MIT-Arrhythmia,none
