,Duration,Sampling_Rate,Respiratory_Rate,Simulation,Noise_Amplitude,Noise_Frequency,Detrend_Order,Detrend_Position,Filter_Order,Filter_Low,Filter_High,Difference_Mean,Difference_SD
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.0,3.0,-0.007865998519488267,0.06236461531780895
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.0,2.0,-0.007865998519488267,0.06236461531780895
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.0,1.0,-0.007899190084484779,0.06267661206626399
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.0,0.35,-0.008046515545378583,0.058098214522870256
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.0,0.25,-0.006724701749976991,0.05761674494532932
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.05,3.0,-0.007407039205552653,0.06321530788961945
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.05,2.0,-0.0077313976866961705,0.06302520900007129
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.05,1.0,-0.00860352973522213,0.06310805371817313
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.05,0.35,-0.013344614331933282,0.06326109127587516
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.05,0.25,-0.007774391632707566,0.061111409626117316
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.1,3.0,-0.009782775248442748,0.06505380872961261
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.1,2.0,-0.0098870136175222,0.0653105494536193
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.1,1.0,-0.009743835057269544,0.06590908861965925
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.1,0.35,-0.010233805926374096,0.07118246911851285
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.1,0.25,0.009212689444434489,0.0771322369257859
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.15,3.0,-0.007189309819714022,0.060733565374992894
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.15,2.0,-0.007112211841830306,0.06023145796262212
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.15,1.0,-0.006831342551670888,0.05976655005036312
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.15,0.35,-0.008703538419983017,0.05950341854607736
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.15,0.25,0.05338214727066193,0.16437639470878598
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.2,3.0,-0.0030029120077200953,0.06179961109618128
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.2,2.0,-0.0027208753210082584,0.06150378305187895
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.2,1.0,-0.004603196942011818,0.0625890912468991
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.2,0.35,0.002845873045924181,0.0715690975583806
0,120,1000,15,Simple,0.01,1.0,0,First,3,0.2,0.25,0.13267063668825307,0.21690021163316672
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.0,3.0,-0.007865998519488267,0.06236461531780895
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.0,2.0,-0.007865998519488267,0.06236461531780895
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.0,1.0,-0.00789976386828779,0.06277171195286363
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.0,0.35,-0.008429014774097783,0.0583832815147798
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.0,0.25,-0.003856463243051141,0.05611390773981425
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.05,3.0,-0.007343441672268306,0.06358093059287932
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.05,2.0,-0.007733031651533496,0.0632124525059507
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.05,1.0,-0.00915191425102796,0.06307031951570091
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.05,0.35,-0.01489216699950688,0.06925329440142175
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.05,0.25,0.004809101573796402,0.0575992018383914
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.1,3.0,-0.010498346649793398,0.06653210715599658
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.1,2.0,-0.010361322791409317,0.06669395104891411
0,120,1000,15,Simple,0.01,1.0,0,First,4,0.1,1.0,-0.010048838289876644,0.06799703554913288
