,Duration,Sampling_Rate,Respiratory_Rate,Simulation,Noise_Amplitude,Noise_Frequency,Detrend_Method,Detrend_Order,Detrend_Regularization,Detrend_Alpha,Detrend_Position,Filter_Method,Filter_Type,Filter_Order,Filter_Low,Filter_High,Difference_Rate_Mean,Difference_Rate_SD,Difference_Cleaned_Mean,Difference_Cleaned_SD
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_4,4,,40.55555555555556,-0.0399860903772607,0.17634079338957845,0.0007348300596650846,0.034094192132451566
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_5,5,,40.55555555555556,-0.0399860903772607,0.17634079338957845,-2.711375365973486e-05,0.03070281185824793
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_6,6,,40.55555555555556,-0.03749521321821618,0.17465085015365467,-0.002354089677136517,0.027792914762181552
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_7,7,,40.55555555555556,-0.03686365314582429,0.17458906743280744,-0.006384217873858127,0.0388310549675624
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_8,8,,40.55555555555556,-0.03374342737241721,0.1731141943056137,-0.011852701449878962,0.06413058408161972
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_9,9,,40.55555555555556,-0.03566388778294319,0.1729531348171104,-0.018081721327902173,0.09428506031577737
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,FIR,FIR,5,,40.55555555555556,-0.0399860903772607,0.17634079338957845,-0.0017938998207497755,0.008113680727052274
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_0,0,,43.33333333333333,-0.0399860903772607,0.17634079338957845,-0.001793899834763374,0.00811390537958794
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_1,1,,43.33333333333333,-0.040002103000837334,0.17638812311586902,-0.0011630039241454669,0.08844655910488712
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_2,2,,43.33333333333333,-0.040005303050843766,0.17651258156204785,-0.0005720440326183117,0.041363199075279876
0,60,200,15,Simple,0.01,0.5,polynomial,0,500,0.75,None,Butterworth,Butterworth_3,3,,43.33333333333333,-0.0399860903772607,0.17634079338957845,0.00028139089565625144,0.03170524156240767
